se,sp,ppv,acc,se(sp95),se(sp99),tp,tn,fp,fn,C,gamma
0.917431192661,0.815991237678,0.322580645161,0.824835032993,0.44495412844,0.0366972477064,400,3725,840,36,10.0,0.001
0.864678899083,0.831982475356,0.329545454545,0.834833033393,0.408256880734,0.0252293577982,377,3798,767,59,10.0,0.001
0.910550458716,0.823220153341,0.329734219269,0.830833833233,0.451834862385,0.0389908256881,397,3758,807,39,10.0,0.001
0.892201834862,0.819496166484,0.320692497939,0.825834833033,0.405963302752,0.0366972477064,389,3741,824,47,10.0,0.001
0.889908256881,0.825629791895,0.327702702703,0.831233753249,0.422018348624,0.0298165137615,388,3769,796,48,10.0,0.001
0.892201834862,0.824534501643,0.326890756303,0.830433913217,0.470183486239,0.0344036697248,389,3764,801,47,10.0,0.001
0.873853211009,0.821467688938,0.31856187291,0.826034793041,0.422018348624,0.0366972477064,381,3750,815,55,10.0,0.001
0.917431192661,0.819934282585,0.327332242226,0.828434313137,0.449541284404,0.0481651376147,400,3743,822,36,10.0,0.001
0.887614678899,0.822124863089,0.322768974145,0.827834433113,0.442660550459,0.0298165137615,387,3753,812,49,10.0,0.001
0.901376146789,0.826725082147,0.331925675676,0.833233353329,0.502293577982,0.0321100917431,393,3774,791,43,10.0,0.001
