se,sp,ppv,acc,se(sp95),se(sp99),tp,tn,fp,fn,C,gamma
0.729357798165,0.756845564074,0.22268907563,0.754449110178,0.424311926606,0.0917431192661,318,3455,1110,118,1.0,0.1
0.768348623853,0.738444687842,0.219097449313,0.741051789642,0.43119266055,0.105504587156,335,3371,1194,101,10.0,0.01
0.701834862385,0.774808324206,0.229385307346,0.768446310738,0.438073394495,0.112385321101,306,3537,1028,130,1.0,0.1
0.745412844037,0.74282584885,0.216811207472,0.743051389722,0.435779816514,0.098623853211,325,3391,1174,111,10.0,0.01
0.729357798165,0.763636363636,0.227630637079,0.760647870426,0.412844036697,0.114678899083,318,3486,1079,118,1.0,0.1
0.711009174312,0.763855421687,0.223342939481,0.75924815037,0.408256880734,0.112385321101,310,3487,1078,126,1.0,0.1
0.713302752294,0.736035049288,0.205145118734,0.734053189362,0.435779816514,0.0871559633028,311,3360,1205,125,1.0,0.1
0.697247706422,0.780284775465,0.23259372609,0.773045390922,0.412844036697,0.130733944954,304,3562,1003,132,1.0,0.1
0.740825688073,0.741292442497,0.214760638298,0.74125174965,0.426605504587,0.119266055046,323,3384,1181,113,1.0,0.1
0.706422018349,0.775684556407,0.231231231231,0.769646070786,0.403669724771,0.0940366972477,308,3541,1024,128,1.0,0.1
